# anim name,mma name,first frame,last frame,Y AXIS Offset,Y AXIS DISTANCE,X AXIS Offset,X AXIS DISTANCE,default next[
# transition moves [by convention] are of the form: from_to where the,,,,,,,,
# source and destination are looped animations,,,,,,,,
STAND,cmanwalk,1,1,0,0,0,0,STAND
STAND_WALK,cmanwalk,1,4,0,0.11,0,0,WALK
WALK,cmanwalk,5,24,0.11,1.45,0,0,WALK
WALK_STAND,cmanwalk,25,35,0.88,0.17,0,0,STAND
STAND_ANTIC,cmandivl,1,5,0,0,0,0,ANTIC
ANTIC,cmandivl,6,10,0,0,0,0,ANTIC
ANTIC_WALK,cmanan2w,1,4,0,0.08,0,0,WALK
WALK_ANTIC,cmanw2an,1,10,0.88,0.18,0,0,ANTIC
ANTIC_LDIVE,cmandivl,11,26,0,0,0,2.35,LDIVE
LDIVE,cmandivl,27,27,0,0,2.35,0.3,LDIVE_STAND
LDIVE_STAND,cmandivl,28,50,0,0,2.65,1.82,STAND
ANTIC_RDIVE,cmandivr,11,26,0,0,0,-2.33,RDIVE
RDIVE,cmandivr,27,27,0,0,-2.33,-0.3,RDIVE_STAND
RDIVE_STAND,cmandivr,28,40,0,0,-2.63,-1.83,STAND
WALK_RDIVE,cmanw2dr,1,10,0.88,0,0,-2.24,RDIVE
WALK_LDIVE,cmanw2dl,1,10,0.88,0,0,2.24,LDIVE
RUN,cmanrun,6,17,0.03,3.03,0,0,RUN
BACKUP,cmanw2bk,1,1,0,0,0,0,BACKUP
BACKUP_WALK,cmanbk2w,1,4,0,0.2,0,0,WALK
RUN_WALK,cmanru2w,1,6,3.12,0.68,0,0,WALK
