Description, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit,Difficulty,ProCarType, ProTimeofDay, ProWeather, ProOpponents, ProCops, ProAmbient, ProPeds, ProNumLaps, ProTimeLimit,ProDifficulty
ASP1,0,1,0,1000,1,1,0.3,0,0,1,0,1,0,1000,1,0,0.0,0,0,1
ASP2,0,1,0,1000,1,1,0.4,0,0,1,0,1,1,1000,1,0,0.0,0,0,1
ASP3,0,2,0,1000,1,1,0.2,0,0,1,0,1,1,1000,1,1,1.0,0,0,1
ASU1,0,0,0,1000,1,1,0.1,0,0,1,0,0,0,1000,1,1,0.1,0,0,1
ASU2,0,1,0,1000,1,1,0.2,0,0,1,0,1,2,1000,1,1,0.2,0,0,1
ASU3,0,3,0,1000,1,1,0.1,0,0,1,0,3,1,1000,1,1,0.2,0,0,1
AFA1,0,0,2,1000,1,1,0.1,0,0,1,0,3,2,1000,1,1,0.1,0,0,1
AFA2,0,1,2,1000,1,1,0.3,0,0,1,0,0,0,1000,1,1,0.2,0,0,1
AFA3,0,2,2,1000,1,1,0.2,0,0,1,0,1,2,1000,1,1,0.3,0,0,1
AWI1,0,0,3,1000,1,1,0.2,0,0,1,0,1,3,1000,1,1,0.4,0,0,1
AWI2,0,2,3,1000,1,1,0.2,0,0,1,0,2,3,1000,1,1,0.2,0,0,1
AWI3,0,3,3,1000,1,1,0.1,0,0,1,0,3,3,1000,1,1,0.1,0,0,1
