# anim name,mma name,first frame,last frame,Y AXIS Offset,Y AXIS DISTANCE,X AXIS Offset,X AXIS DISTANCE,default next[
# transition moves [by convention] are of the form: from_to where the,,,,,,,,
# source and destination are looped animations,,,,,,,,
STAND,womwalk,1,1,0,0,0,0,STAND_WALK
STAND_WALK,womwalk,1,4,0,0.11,0,0,WALK
WALK,womwalk,5,24,0.11,0.77,0,0,WALK
WALK_STAND,womwalk,25,35,0.88,0.17,0,0,STAND
# rex - STAND_ANTIC,womdivel,1,5,0,0,0,0,ANTIC
# rex - ANTIC,womdivel,6,10,0,0,0,0,ANTIC
STAND_ANTIC,womantic,1,5,0,0,0,0,ANTIC
ANTIC,womantic,6,10,0,0,0,0,ANTIC
ANTIC_WALK,womant2w,1,4,0,0.08,0,0,WALK
WALK_ANTIC,womw2ant,1,10,0.88,0.18,0,0,ANTIC
ANTIC_LDIVE,womdivel,1,16,0,0,0,-2.35,LDIVE
LDIVE,womdivel,17,17,0,0,-2.35,-0.3,LDIVE_STAND
LDIVE_STAND,womdivel,18,40,0,0,-2.65,-1.82,STAND
ANTIC_RDIVE,womdiver,1,16,0,0,0,2.33,RDIVE
RDIVE,womdiver,17,17,0,0,2.33,0.3,RDIVE_STAND
RDIVE_STAND,womdiver,18,40,0,0,2.63,1.83,STAND
WALK_RDIVE,womw2dir,1,10,0.88,0,0,2.24,RDIVE
WALK_LDIVE,womw2dil,1,10,0.88,0,0,-2.24,LDIVE
RUN,womrun,6,17,0.03,3.03,0,0,RUN
BACKUP,womw2bak,10,10,0.84,0,0,0,BACKUP
BACKUP_WALK,wombak2w,1,4,0,0.2,0,0,WALK
RUN_WALK,womrun2w,1,6,3.12,0.68,0,0,WALK
