Description, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty
ABL0,0,0,0,0,0,0.1,0.2,4,35,1,0,0,2,0,1,0.1,0.1,4,28,1
ABL1,0,1,0,0,0,0.1,0.4,4,100,1,0,1,1,0,1,0.11,0.3,4,70,1
ABL2,0,2,0,0,0,0.2,0.4,4,55,1,0,2,2,0,1,0.22,0.4,4,52,1
ABL3,0,0,1,0,0,0.4,0.1,4,65,1,0,3,2,0,1,0.2,0.1,4,58,1
ABL4,0,0,0,0,0,0.2,0.3,4,60,1,0,1,0,0,1,0.2,0.3,4,54,1
ABL5,0,1,2,0,0,0.1,0.4,4,55,1,0,2,1,0,1,0.1,0.4,4,50,1
ABL6,0,2,2,0,0,0.2,0.4,4,52,1,0,3,2,0,1,0.22,0.1,4,52,1
ABL7,0,1,0,0,0,0.1,0.3,4,72,1,0,1,0,0,1,0.12,0.4,4,61,1
ABL8,0,0,3,0,0,0.1,0.4,4,70,1,0,2,3,0,1,0.12,0.4,4,58,1
ABL9,0,1,3,0,0,0.4,0.4,4,130,1,0,3,3,0,1,0.4,0.1,4,115,1
