format: (x, y, z)

cpgate 28.8 14.25 4
DP01WINA 0.1 3 7
DP01WINA_BREAK01 0.1 1.5 1.75
DP01WINA_BREAK02 0.1 0.75 2.86
DP01WINA_BREAK03 0.1 2.25 1.75
DP01WINA_BREAK04 0.1 2.25 3.5
DP01WINA_BREAK05 0.1 1.6 1.75
DP01WINA_BREAK06 0.1 1.4 5.25
DP01WINA_BREAK07 0.1 0.75 5.25
DP01WINA_BREAK08 0.1 1.6 2.39
DP01WINA_BREAK09 0.1 1.6 3.5
DP01WINA_BREAK10 0.1 1.6 3.5
DP01WINA_BREAK11 0.1 0.925 3.016
DP01WINA_BREAK12 0.1 0.75 3.5
DP01WINA_BREAK13 0.1 1.675 1.75
DP01WINA_BREAK14 0.1 3 0.4839
DP01WINB 0.1 3 7
DP01WINB_BREAK01 0.1 1.5 1.75
DP01WINB_BREAK02 0.1 0.75 2.86
DP01WINB_BREAK03 0.1 2.25 1.75
DP01WINB_BREAK04 0.1 2.25 3.5
DP01WINB_BREAK05 0.1 1.6 1.75
DP01WINB_BREAK06 0.1 1.4 5.25
DP01WINB_BREAK07 0.1 0.75 5.25
DP01WINB_BREAK08 0.1 1.6 2.39
DP01WINB_BREAK09 0.1 1.6 3.5
DP01WINB_BREAK10 0.1 1.6 3.5
DP01WINB_BREAK11 0.1 0.925 3.016
DP01WINB_BREAK12 0.1 0.75 3.5
DP01WINB_BREAK13 0.1 1.675 1.75
DP01WINB_BREAK14 0.1 3 0.4839
DP01WINC 7 3 0.1
DP01WINC_BREAK01 1.75 1.5 0.1
DP01WINC_BREAK02 1.75 2.25 0.1
DP01WINC_BREAK03 1.75 2.25 0.1
DP01WINC_BREAK04 3.79 0.75 0.1
DP01WINC_BREAK05 2.04 1.125 0.1
DP01WINC_BREAK06 2.062 1.5 0.1
DP01WINC_BREAK07 2.945 0.75 0.1
DP01WINC_BREAK08 5.562 0.75 0.1
DP01WINC_BREAK09 7 0.375 0.1
DP01WINC_BREAK10 5.562 1.5 0.1
DP01WINC_BREAK11 3.5 1.5 0.1
DP01WINC_BREAK12 3.5 1.5 0.1
DP01WINC_BREAK13 3.5 1.5 0.1
DP01WINC_BREAK14 1.75 1.9 0.1
