Raw Name                                           Friendly Name
------------------------------------------------------------------------------------------
01_DOOR                                            Building 01 Door
01_DOOR_N                                          Building 01 Door (Night)
01_WIN                                             Building 01 Window
01_WIN_N                                           Building 01 Window (Night)
02_DOOR                                            Building 02 Door
02_DOOR_N                                          Building 02 Door (Night)
02_WIN                                             Building 02 Window
02_WIN_N                                           Building 02 Window (Night)
03_DOOR                                            Building 03 Door
03_DOOR_N                                          Building 03 Door (Night)
03_WIN                                             Building 03 Window
03_WIN_02                                          Building 03 Window #2
03_WIN_02_N                                        Building 03 Window #2 (Night)
03_WIN_N                                           Building 03 Window (Night)
05_DOOR                                            Building 05 Door
05_DOOR_N                                          Building 05 Door (Night)
05_WIN                                             Building 05 Window
05_WIN_N                                           Building 05 Window (Night)
06_WIN                                             Building 06 Window
06_WIN_02                                          Building 06 Window #2
06_WIN_02_N                                        Building 06 Window #2 (Night)
06_WIN_N                                           Building 06 Window (Night)
07_BRICK                                           Building 07 Brick
07_BRICK_N                                         Building 07 Brick (Night)
07_DOOR                                            Building 07 Door
07_DOOR_N                                          Building 07 Door (Night)
07_WALL                                            Building 07 Wall
07_WALL_N                                          Building 07 Wall (Night)
07_WIN                                             Building 07 Window
07_WIN_N                                           Building 07 Window (Night)
08_WIN                                             Building 08 Window
08_WIN_N                                           Building 08 Window (Night)
10_DOOR                                            Building 10 Door
10_DOOR_N                                          Building 10 Door (Night)
10_WIN                                             Building 10 Window
10_WIN_N                                           Building 10 Window (Night)
11_DOOR                                            Building 11 Door
11_DOOR_N                                          Building 11 Door (Night)
11_WIN                                             Building 11 Window
11_WIN_N                                           Building 11 Window (Night)
12_WIN                                             Building 12 Window
12_WIN_N                                           Building 12 Window (Night)
13_WIN                                             Building 13 Window
13_WIN_N                                           Building 13 Window (Night)
14_WIN                                             Building 14 Window
14_WIN_02                                          Building 14 Window #2
14_WIN_02_N                                        Building 14 Window #2 (Night)
14_WIN_03                                          Building 14 Window #3
14_WIN_03_N                                        Building 14 Window #3 (Night)
14_WIN_04                                          Building 14 Window #4
14_WIN_04_N                                        Building 14 Window #4 (Night)
14_WIN_N                                           Building 14 Window (Night)
15_CLOCK                                           Building 15 Clock
15_CLOCK_N                                         Building 15 Clock (Night)
15_DOOR                                            Building 15 Door
15_DOOR_N                                          Building 15 Door (Night)
15_TRIM                                            Building 15 Trim
15_TRIM_N                                          Building 15 Trim (Night)
15_WIN                                             Building 15 Window
15_WIN_N                                           Building 15 Window (Night)
17_BIRCK                                           Building 17 Brick
17_BIRCK_N                                         Building 17 Brick (Night)
17_DOOR                                            Building 17 Door
17_DOOR_N                                          Building 17 Door (Night)
17_TRIM                                            Building 17 Trim
17_TRIM_02                                         Building 17 Trim #2
17_TRIM_02_N                                       Building 17 Trim #2 (Night)
17_TRIM_N                                          Building 17 Trim (Night)
17_WIN                                             Building 17 Window
17_WIN_N                                           Building 17 Window (Night)
18_WIN                                             Building 18 Window
18_WIN_02                                          Building 18 Window #2
18_WIN_02_N                                        Building 18 Window #2 (Night)
18_WIN_N                                           Building 18 Window (Night)
19_WIN                                             Building 19 Window
19_WIN_N                                           Building 19 Window (Night)
23_CLOCK                                           Building 23 Clock
23_CLOCK_N                                         Building 23 Clock (Night)
23_WIN                                             Building 23 Window
23_WIN_02                                          Building 23 Window #2
23_WIN_02_N                                        Building 23 Window #2 (Night)
23_WIN_03                                          Building 23 Window #3
23_WIN_03_N                                        Building 23 Window #3 (Night)
23_WIN_N                                           Building 23 Window (Night)
24_GRASS                                           Building 24 Grass
24_GRASS_N                                         Building 24 Grass (Night)
24_GRID                                            Building 24 Grid
24_GRIDWORK                                        Building 24 Gridwork
24_GRIDWORK_N                                      Building 24 Gridwork (Night)
24_GRID_N                                          Building 24 Grid (Night)
24_MEDIABOX                                        Building 24 Media Box
24_MEDIABOX_N                                      Building 24 Media Box (Night)
24_OLD_SIGN                                        Building 24 Old Sign
24_OLD_SIGN_N                                      Building 24 Old Sign (Night)
24_SIGN_ON                                         Building 24 Sign On
24_SIGN_ON_N                                       Building 24 Sign On (Night)
24_WIN                                             Building 24 Window
24_WIN_02                                          Building 24 Window #2
24_WIN_02_N                                        Building 24 Window #2 (Night)
24_WIN_03                                          Building 24 Window #3
24_WIN_03_N                                        Building 24 Window #3 (Night)
24_WIN_N                                           Building 24 Window (Night)
25_WIN                                             Building 25 Window
25_WIN_02                                          Building 25 Window #2
25_WIN_02_N                                        Building 25 Window #2 (Night)
25_WIN_N                                           Building 25 Window (Night)
26_SIDE                                            Building 26 Side
26_SIDE_N                                          Building 26 Side (Night)
27_DOOR                                            Building 27 Door
27_DOOR_02                                         Building 27 Door #2
27_DOOR_02_N                                       Building 27 Door #2 (Night)
27_DOOR_N                                          Building 27 Door (Night)
27_WIN                                             Building 27 Window
27_WIN_N                                           Building 27 Window (Night)
28_DOOR                                            Building 28 Door
28_DOOR_N                                          Building 28 Door (Night)
28_WIN                                             Building 28 Window
28_WIN_02                                          Building 28 Window #2
28_WIN_02_N                                        Building 28 Window #2 (Night)
28_WIN_N                                           Building 28 Window (Night)
31_BRICK                                           Building 31 Brick
31_BRICK_N                                         Building 31 Brick (Night)
31_WIN                                             Building 31 Window
31_WIN_02                                          Building 31 Window #2
31_WIN_02_N                                        Building 31 Window #2 (Night)
31_WIN_N                                           Building 31 Window (Night)
33_BRICK                                           Building 33 Brick
33_BRICK_N                                         Building 33 Brick (Night)
33_DOOR_BIG                                        Building 33 Door Big
33_DOOR_BIG_N                                      Building 33 Door Big (Night)
33_GRID                                            Building 33 Grid
33_GRID_N                                          Building 33 Grid (Night)
33_TRIM                                            Building 33 Trim
33_TRIM_N                                          Building 33 Trim (Night)
33_WIN                                             Building 33 Window
33_WIN_03                                          Building 33 Window #3
33_WIN_03_N                                        Building 33 Window #3 (Night)
33_WIN_04                                          Building 33 Window #4
33_WIN_04_N                                        Building 33 Window #4 (Night)
33_WIN_N                                           Building 33 Window (Night)
34_BRICK                                           Building 34 Brick
34_BRICK_N                                         Building 34 Brick (Night)
36_WATER                                           Building 36 Water
36_WATER_N                                         Building 36 Water (Night)
37_END                                             Building 37 End
37_END_N                                           Building 37 End (Night)
37_INSIDE                                          Building 37 Inside
37_INSIDE_N                                        Building 37 Inside (Night)
37_TOP                                             Building 37 Top
37_TOP_N                                           Building 37 Top (Night)
37_WIN                                             Building 37 Window
37_WIN_N                                           Building 37 Window (Night)
37_WIN_TOP                                         Building 37 Window Top
37_WIN_TOP_N                                       Building 37 Window Top (Night)
38_WIN                                             Building 38 Window
38_WIN_N                                           Building 38 Window (Night)
40_WIN                                             Building 40 Window
40_WIN_02                                          Building 40 Window #2
40_WIN_02_N                                        Building 40 Window #2 (Night)
40_WIN_N                                           Building 40 Window (Night)
41_DOOR                                            Building 41 Door
41_DOOR_N                                          Building 41 Door (Night)
41_WIN                                             Building 41 Window
41_WIN_N                                           Building 41 Window (Night)
42_BNR                                             Building 42 Banner
42_BNR_N                                           Building 42 Banner (Night)
42_BRICK                                           Building 42 Brick
42_BRICK_N                                         Building 42 Brick (Night)
42_DOOR                                            Building 42 Door
42_DOOR_N                                          Building 42 Door (Night)
42_WALL                                            Building 42 Wall
42_WALL_N                                          Building 42 Wall (Night)
42_WIN                                             Building 42 Window
42_WIN_02                                          Building 42 Window #2
42_WIN_02_N                                        Building 42 Window #2 (Night)
42_WIN_N                                           Building 42 Window (Night)
43_WIN_02                                          Building 43 Window #2
43_WIN_02_N                                        Building 43 Window #2 (Night)
44_BRICK                                           Building 44 Brick
44_BRICK_N                                         Building 44 Brick (Night)
44_DOOR                                            Building 44 Door
44_DOOR_N                                          Building 44 Door (Night)
44_WIN                                             Building 44 Window
44_WIN_N                                           Building 44 Window (Night)
46_WIN                                             Building 46 Window
46_WIN_N                                           Building 46 Window (Night)
48_DOOR                                            Building 48 Door
48_DOOR_N                                          Building 48 Door (Night)
BGSKY                                              Background Sky
CARBOTTOM                                          Car Bottom
CHECK04                                            Checkpoint #4
CHECK_POINT_02                                     Checkpoint #2
CT_AWNING                                          Chinatown Awning
CT_AWNING_N                                        Chinatown Awning (Night)
CT_BANNER                                          Chinatown Banner
CT_BANNER02                                        Chinatown Banner02 2
CT_BANNER02_N                                      Chinatown Banner02 2 (Night)
CT_BANNER03                                        Chinatown Banner03 3
CT_BANNER03_N                                      Chinatown Banner03 3 (Night)
CT_BANNER_N                                        Chinatown Banner (Night)
