x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-1014.418091,2.116802,59.822914,160.843811,0,0,0,0,
-1011.958496,2.288704,66.900322,160.842880,0,0,0,0,
-1008.809631,2.167533,75.960304,160.841766,0,0,0,0,
-1005.930237,2.176887,84.245689,160.841049,0,0,0,0,
-1003.080261,2.206164,92.446213,160.840530,0,0,0,0,
-1000.566650,2.255861,99.476952,160.088654,0,0,0,0,
-998.356995,2.835823,102.076897,166.749298,0,0,0,0,
-996.722900,3.381060,105.178490,167.708099,0,0,0,0,
-994.722595,3.504650,109.087746,167.327713,0,0,0,0,
-992.761353,3.313159,112.645721,167.470413,0,0,0,0,
-990.537048,2.806859,117.618217,175.731781,0,0,0,0,
-990.436829,2.572652,122.686829,176.824509,0,0,0,0,
-989.907166,2.593907,127.788383,175.301788,0,0,0,0,
-989.398865,2.612532,132.418442,175.539139,0,0,0,0,
-989.134277,2.585058,137.005280,175.832764,0,0,0,0,
-988.925598,2.594258,141.557022,175.865616,0,0,0,0,
-988.643433,2.638152,146.094193,175.718475,0,0,0,0,
-988.255249,2.693321,150.932648,175.403595,0,0,0,0,
-986.863586,2.907814,164.099915,177.565018,0,0,0,0,
-985.793457,3.062257,192.172028,177.295609,0,0,0,0,
