x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-564.878296,4.820000,-666.719421,65.000000,11,0,0,0,
-546.687927,4.860000,-684.980896,-25.000000,6,0,0,0,
-561.028931,-14.685000,-758.854370,70.000000,7,0,0,0,
-314.755951,-14.600007,-803.529968,-85.000000,6,0,0,0,
35.092575,-14.630004,-808.413940,23.380005,6,0,0,0,
104.029015,-14.977000,-441.265717,166.676971,6,0,0,0,
381.327637,-12.630002,28.513712,-70.000000,9,0,0,0,
587.137939,-13.796000,169.167480,-40.000000,6,0,0,0,
734.475037,-14.817002,311.614014,-50.000000,6,0,0,0,
833.342896,-0.320000,261.432953,35.000000,9,0,0,0,
863.142090,-0.280000,209.675964,25.000000,7,0,0,0,
