x,y,z,a,radius,frame rate,state changes,texture changes,msg
225.528534,-0.149900,-270.213776,-130.000000,15.000000,0,0,0,
21.501997,-0.150000,-125.084541,-124.384995,15.000000,0,0,0,
-21.397785,-0.150000,-62.663807,-168.708038,16.000000,0,0,0,
-99.802002,-0.150000,-45.062927,-27.849001,15.000000,0,0,0,
-91.223000,-0.150000,-112.340004,-120.944000,15.000000,0,0,0,
-292.204010,-0.150100,-122.422997,-91.920021,15.000000,0,0,0,
-354.798920,-0.150100,-99.131546,-116.143997,19.000000,0,0,0,
-428.053009,-0.150100,-158.163956,-17.430984,19.000000,0,0,0,
-327.097992,-0.150000,-224.598022,-253.623627,20.000000,0,0,0,
-330.258087,-0.150100,29.288742,-201.474960,10.000000,0,0,0,
-367.009033,-0.230000,80.921272,-99.183990,12.000000,0,0,0,
-402.063995,-0.120000,123.865692,173.738953,12.000000,0,0,0,
-349.991821,-0.150100,167.601212,82.266014,12.000000,0,0,0,
-300.185974,-0.150100,133.520004,177.510239,11.000000,0,0,0,
-285.238007,-0.150100,281.433228,205.266037,12.000000,0,0,0,
-156.265991,-0.150100,419.206360,118.537010,10.000000,0,0,0,
-109.776001,-0.150100,410.437988,32.326988,11.000000,0,0,0,
-46.675003,-0.150100,419.611969,-55.922943,11.000000,0,0,0,
-67.390007,-0.150100,479.189972,-59.682022,11.000000,0,0,0,
-246.831024,-0.150100,569.132019,39.491013,11.000000,0,0,0,
-252.381012,-0.150100,614.661011,139.317032,11.000000,0,0,0,
-210.235992,-0.150100,618.157837,40.802963,11.000000,0,0,0,
54.581467,-0.122000,721.382141,90.000000,15.000000,0,0,0,
