x,y,z,a,radius,frame rate,state changes,texture changes,msg
1233.334473,4.850400,-623.360657,-170.000000,11.000000,0,0,0,
1221.899902,4.850400,-554.753113,10.000000,11.000000,0,0,0,
1150.364014,4.850400,-519.935974,-90.000000,10.000000,0,0,0,
1065.485718,4.850400,-483.286957,50.000000,11.000000,0,0,0,
973.863037,4.850400,-508.061920,-45.000000,9.000000,0,0,0,
893.570984,4.850400,-534.137024,-75.000000,9.000000,0,0,0,
825.298157,4.850400,-616.706604,-11.753999,10.000000,0,0,0,
885.253967,4.850401,-692.577759,-65.000000,11.000000,0,0,0,
1116.592041,4.850400,-715.789001,-180.569992,10.000000,0,0,0,
1102.621948,4.850400,-777.839966,-10.980000,6.000000,0,0,0,
1159.253174,4.850399,-833.064026,-65.000000,11.000000,0,0,0,
