x,y,z,a,poly count,frane rate,state changes,texture changes,msg
97.981003,4.749998,-663.519775,245.843811,7,0,0,0,
-29.837004,5.000401,-622.417969,85.642998,7,0,0,0,
-1.652000,1.150783,-527.254028,153.972000,8,0,0,0,
-47.127499,4.850400,-443.840057,142.111038,9,0,0,0,
-149.337006,4.850400,-481.828766,200.901016,11,0,0,0,
-268.617981,2.765751,-441.197021,235.438995,8,0,0,0,
-170.105011,-0.150000,-277.703094,123.049004,8,0,0,0,
36.777992,-0.149955,-232.628387,243.568039,9,0,0,0,
262.032776,-0.149900,-234.149765,167.327713,13,0,0,0,
357.666046,2.548086,-409.863708,217.470413,11,0,0,0,
386.315979,5.000400,-569.299316,235.731781,7,0,0,0,
387.386047,5.000401,-687.470215,244.304993,6,0,0,0,
