x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-618.528381,-0.150200,100.115784,-110.000000,15,0,0,0,
-701.635925,-0.150200,129.822037,70.000000,18,0,0,0,
-784.210022,-0.150200,155.123016,70.580017,15,0,0,0,
-783.663025,-0.150200,217.266006,-40.000000,12,0,0,0,
-737.943054,-0.150200,270.288910,-40.000000,13,0,0,0,
-699.970032,-0.150200,278.472961,50.000000,6,0,0,0,
-660.074158,-0.150200,238.034271,45.000000,6,0,0,0,
-615.882813,-0.150200,221.541016,-85.000000,6,0,0,0,
-593.780823,-0.150200,255.192749,-182.962006,9,0,0,0,
-618.332886,-0.150200,324.997589,55.000000,8,0,0,0,
-634.322998,-0.150200,379.845001,-55.000000,12,0,0,0,
-594.505005,-0.150200,409.492889,-50.000000,12,0,0,0,
-537.234192,-0.150173,373.850067,35.000000,7,0,0,0,
-487.031952,-0.150123,301.155640,35.000000,7,0,0,0,
-421.590027,-0.150100,279.745575,-65.000000,6,0,0,0,
-336.123993,-0.150100,319.050934,-65.000000,6,0,0,0,
-347.622009,-0.150100,396.215302,25.000000,12,0,0,0,
-419.403931,-0.150100,509.966827,35.000000,12,0,0,0,
-399.919006,-0.100000,567.486267,-60.000000,12,0,0,0,
-309.703033,-0.050000,590.848022,-90.000000,12,0,0,0,
-258.343933,-0.080000,607.778748,-40.000000,11,0,0,0,
-230.963959,0.000000,669.083069,173.085007,12,0,0,0,
-172.808990,-0.022000,712.862122,-90.000000,13,0,0,0,
52.096996,-0.062000,722.094055,-90.000000,13,0,0,0,
