x,y,z,a,poly count,frane rate,state changes,texture changes,msg
216.37291,2.820248,432.832001,0.719785,15,0,0,0,
203.553711,-0.113,364.567902,-16.48077,8,0,0,0,
153.926315,-0.057,323.033905,-63.874485,9,0,0,0,
82.452995,-0.098,401.155121,-179.375732,8,0,0,0,
42.862293,-0.216,442.007721,-87.851265,5,0,0,0,
-44.011005,-0.056,503.789886,148.811432,8,0,0,0,
-49.680946,-0.134,568.998413,-108.078423,8,0,0,0,
-214.722336,-0.106,579.770264,-37.493111,12,0,0,0,
-206.496017,-0.118,524.975098,38.655518,5,0,0,0,
-83.455986,-0.127,468.52597,130.836731,11,0,0,0,
42.862293,-0.216,442.007721,-87.851265,5,0,0,0,
301.004028,-0.083,177.561996,-3.739372,11,0,0,0,
385.095978,-0.109,109.647003,88.833015,15,0,0,0,
455.900848,-0.181,38.715729,6.189538,5,0,0,0,
439.161102,-0.215,-8.766584,-6.499632,5,0,0,0,
471.766937,-0.093,-57.055347,12.76973,5,0,0,0
469.714996,-0.181,-123.850632,15.457354,5,0,0,0
517.191101,-0.256,-255.761017,54.0275,7,0,0,0
733.962219,4.923,-103.41217,154.735672,10,0,0,0
