x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-144.030014,8.650003,-497.587006,12.064613,10,0,0,0,
-101.198982,4.990004,-665.652588,35.448986,9,0,0,0,
153.453995,4.925999,-802.220947,62.000999,9,0,0,0,
307.254059,4.989998,-864.887817,36.713009,9,0,0,0,
479.859039,4.930003,-924.829163,124.968147,15,0,0,0,
693.114014,4.878001,-755.030762,118.010994,10,0,0,0,
855.431824,4.880000,-702.341003,109.183006,10,0,0,0,
1076.868774,4.970000,-631.656006,102.762978,10,0,0,0,
1210.901733,4.940000,-497.215088,-167.430344,5,0,0,0,
931.288879,1.280001,-140.679001,-65.029999,6,0,0,0,
613.523071,4.789999,-325.722076,-124.668968,17,0,0,0,
486.217010,-0.130000,-184.081955,185.623978,8,0,0,0,
491.935486,-0.100000,-133.759796,-166.003021,7,0,0,0,
457.956848,-0.070000,-88.778564,193.541000,8,0,0,0,
462.488251,-0.190001,-38.488350,-166.442993,5,0,0,0,
440.116974,-0.200000,4.481856,183.867981,6,0,0,0,
454.135986,-0.229999,41.219395,-174.219971,5,0,0,0,
432.717010,-0.210000,73.792999,-170.123032,6,0,0,0,
432.591095,-0.100000,323.554443,180.473053,4,0,0,0,
613.792969,-0.065000,655.815063,-74.420021,10,0,0,0,
