Description, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty
none,0,0,0,0,0,0.3,0.1,3,25,1,0,0,0,0,0,0.4,0.1,4,18,1
none,0,0,1,0,0,0.3,0.1,3,40,1,0,0,1,0,0,0.3,0.1,4,35,1
none,0,0,2,0,0,0.4,0.1,3,45,1,0,0,2,0,0,0.9,0.1,4,35,1
none,0,1,0,0,0,0.3,0.1,3,45,1,0,1,0,0,0,0.3,0.1,4,41,1
none,0,1,1,0,0,0.5,0.2,3,80,1,0,1,1,0,0,0.5,0.2,4,72,1
none,0,2,0,0,0,0.5,0.1,3,35,1,0,1,2,0,0,0.5,0.1,4,29,1
none,0,2,1,0,0,0.2,0.2,3,60,1,0,2,3,0,0,0.3,0.2,4,40,1
none,0,2,1,0,0,0.3,0.2,3,55,1,0,2,1,0,0,0.4,0.2,4,40,1
none,0,3,0,0,0,0.5,0.1,3,50,1,0,3,2,0,0,0.5,0.1,4,35,1
none,0,3,1,0,0,0.1,0.1,3,120,1,0,3,3,0,0,0.2,0.1,4,103,1
