Description, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty
none,0,0,0,4,0,0.1,0,3,50,1,0,0,1,6,0,0.2,0,4,40,1
none,0,0,0,6,1,0.2,0,3,50,1,0,0,0,6,3,0.2,0,4,40,1
none,0,1,0,7,1,0.1,0,3,50,1,0,1,1,7,3,0.1,0,4,40,1
none,0,1,1,7,2,0.1,0,3,50,1,0,1,2,7,3,0.1,0,4,40,1
none,0,1,1,7,0,0.1,0,3,50,1,0,1,3,7,0,0.1,0,4,40,1
none,0,2,0,7,1,0.2,0.1,3,50,1,0,2,1,7,4,0.2,0,4,40,1
none,0,2,1,7,0,0,0,3,50,1,0,2,2,7,0,0,0,4,40,1
none,0,2,2,6,1,0,0,3,50,1,0,2,3,6,3,0.2,0,4,40,1
none,0,2,1,6,0,0,0,3,50,1,0,3,0,6,0,0,0,4,40,1
none,0,3,0,7,3,0.1,0,3,50,1,0,3,1,7,6,0.2,0,4,40,1
none,0,3,1,6,0,0.1,0,3,50,1,0,3,2,6,0,0,0,4,40,1
none,0,3,2,6,0,0,0,3,50,1,0,3,3,6,0,0,0.1,4,40,1
