x,y,z,a,radius,frame rate,state changes,texture changes,msg
800.655579,0.288840,20.405767,-25.000000,10.000000,0,0,0,
655.999817,4.768098,-264.858795,-20.000000,10.000000,0,0,0,
507.109131,4.850400,-580.126770,-25.000000,8.000000,0,0,0,
419.715973,4.981349,-762.885010,155.000000,6.000000,0,0,0,
84.615479,4.719999,-609.354248,161.160400,28.000000,0,0,0,
195.850861,-0.150000,-361.143982,-194.009995,18.000000,0,0,0,
297.467041,-0.149900,-8.904998,178.438278,12.000000,0,0,0,
305.149994,-0.150000,259.556000,-6.509013,9.000000,0,0,0,
139.415985,-0.150000,316.013977,-55.000000,6.000000,0,0,0,
169.118011,-0.150000,213.097488,45.000000,9.000000,0,0,0,
