x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-1078.543945,-0.150200,-518.697205,-105.000000,15,0,0,0,
-1285.350098,2.901829,-723.196167,-62.570839,9,0,0,0,
-565.930725,4.850400,-665.240356,-110.000000,13,0,0,0,
-422.455322,4.850400,-727.701538,65.000000,14,0,0,0,
-263.840057,4.850400,-572.149963,120.000000,10,0,0,0,
-67.519005,4.850400,-710.023987,-127.870003,9,0,0,0,
198.704697,4.850400,-815.347046,76.380005,11,0,0,0,
585.372559,4.850400,-977.520813,-45.000000,15,0,0,0,
860.506836,4.850400,-840.826294,-90.000000,10,0,0,0,
1118.917236,4.850400,-847.698486,110.000000,11,0,0,0,
