x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-501.000000,3.000000,-172.000000,77.000000,15,0,0,0,
-398.579987,-0.076000,-208.338486,61.595654,18,0,0,0,
-307.754974,0.000000,-158.651276,-173.887604,18,0,0,0,
-336.885986,-0.077000,-108.664993,-121.152664,19,0,0,0,
-426.175903,-0.107000,-148.164993,-29.692999,18,0,0,0,
-110.845985,-0.048000,-64.404007,149.345749,15,0,0,0,
-56.300987,-0.067000,-22.514006,69.286926,15,0,0,0,
-36.517998,-0.094000,-102.568001,-37.306000,16,0,0,0,
-90.897995,-0.044000,-112.248016,-124.775970,15,0,0,0,
-0.271000,-0.070000,34.452385,146.823471,10,0,0,0,
252.418015,-0.067000,218.335968,132.691589,15,0,0,0,
437.504059,-0.038000,598.299072,107.957298,11,0,0,0,
663.277954,0.001000,691.074768,126.273994,11,0,0,0,
701.874817,0.006000,694.339478,47.255032,14,0,0,0,
718.048096,-0.046000,660.376038,-20.296354,11,0,0,0,
678.359863,0.002000,630.226624,-97.841911,11,0,0,0,
641.521973,-0.101000,438.708893,4.449089,7,0,0,0,
874.345032,-0.059000,199.410004,70.517494,12,0,0,0,
893.643372,-0.059000,133.444962,-57.828831,11,0,0,0,
