neighborhood,name,roof,front,left,right,back,sliver
Castro,TheCastroTheatre,nl_coitrock_f,gw_theater_f,nl_coitrock_f,nl_coitrock_f,nl_coitrock_f,
Cannery,CanneryBuilding,sw_roof_tar01_s,nf_cannery_brickwin_8_f,nf_cannery_brickwin_8_f,nf_cannery_brickwin_8_f,nf_cannery_brickwin_8_f,
General,ParkingGarage,nl_coitrock_f,sw_4s_parking_garage_door_f,sw_4s_parking_garage_shaft_f,,,
Cannery,Cannery_4mShop_20,sw_roof_tar01_s,sf_2s_win01_5_f,sf_1s_alley04_4_f,sf_1s_alley04_4_f,sf_1s_alley04_4_f,ShopApartment03sliver_20
DontUse,ShopA,nl_coitrock_f,nw_pier39a_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,
Marina,MarinaHome01,nl_coitrock_f,MarinaHomeFront01,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,
Marina,Marina3S_Appt01,nl_coitrock_f,Marina3S_Appt_Front01,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,
Wharf,WaxMuseum,nl_coitrock_f,nw_theater_f,sf_concrete_5,sf_concrete_5,sf_concrete_5,
DontUse,ShopC,nl_coitrock_f,nw_pier39c_f,nf_pier39woodwin_f,nf_pier39woodwin_f,nw_pier39c_flat_f,
CoitBiz,CoitOffice03,sw_roof_tar01_s,sf_3s_win03_6_f,sf_3s_win03_6_f,sf_3s_win03_6_f,sf_3s_win03_6_f,
DontUse,TestSliverWindow,sw_roof_tar01_s,sf_2s_win13_5_f,sf_2s_win13_5_f,sf_2s_win13_5_f,sf_2s_win13_5_f,sf_winsliver01_4_f
CoitBiz,CoitOffice05,nl_coitrock_f,sf_2s_win14_5_f,sf_2s_win14_5_f,sf_2s_win14_5_f,sf_2s_win14_5_f,
DontUse,ShopD,nl_coitrock_f,nw_pier39d_f,nf_pier39woodwin_f,nf_pier39woodwin_f,nf_pier39woodwin_f,
DontUse,ShopE,nl_coitrock_f,nw_pier39e_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,nw_pier39b_flat_f,
Cannery,Cannery_5mShop01_12,sw_roof_tar01_s,AppartmentShop03_12,sf_1s_alley04_4_f,sf_1s_alley04_4_f,sf_1s_alley04_4_f,
DontUse,ShopF,nl_coitrock_f,nw_pier39f_f,nf_pier39woodwin_f,nf_pier39woodwin_f,nw_pier39b_flat_f,
DontUse,AppartmentTall01_8,nl_coitrock_f,sw_appartment_tw01_8_f,sw_appartment_tw01_8_f,sw_appartment_tw01_8_f,sw_appartment_tw01_8_f,
DontUse,ShopFiller01,nl_coitrock_f,nw_pier39generic01_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,
DontUse,Office01_16t,nl_coitrock_f,sw_office_tw01_16,sw_office_tw01_16,sw_office_tw01_16,sw_office_tw01_16,
Marina,MarinaHome02,nl_coitrock_f,Marina2sHomeFront01,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,
Cannery,Cannery_5mShop02_20,sw_roof_tar01_s,sf_2s_win01_5_f,sf_1s_alley04_4_f,sf_1s_alley04_4_f,sf_1s_alley04_4_f,ShopApartment04sliver_20
Marina,Marina3S_Appt02,nl_coitrock_f,Marina3S_Appt_Front02,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,
Coit,GenericCoitApt01,sw_roof_tar01_s,nf_coit_aptment01_win_4_f,nf_coit_aptment01_win_4_f,nf_coit_aptment01_win_4_f,nf_coit_aptment01_win_4_f,
DontUse,TallAppartment_16,sw_roof_tar01_s,sw_appartment_tw02_8_f,sw_appartment_tw02_8_f,sw_appartment_tw02_8_f,sw_appartment_tw02_8_f,
Coit,GenericCoitApt02,sw_roof_tar01_s,nf_coit_aptment02_win_4_f,nf_coit_aptment02_win_4_f,nf_coit_aptment02_win_4_f,nf_coit_aptment02_win_4_f,
Wharf,RestaurantWharf02_12,sw_roof_tar01_s,sf_2s_win02_5_f,sf_concrete_5,sf_concrete_5,sf_concrete_5,nw_b4_fff01_12_f
Coit,GenericCoitApt03,sw_roof_tar01_s,nf_coit_aptment03_win_4_f,nf_coit_aptment03_win_4_f,nf_coit_aptment03_win_4_f,nf_coit_aptment03_win_4_f,
GGVictorians,VictHouse01_v_6,sw_roof_tar01_s,gw_2s_victsqr01_v_6_f,gf_ggvict_offwhite_wood_4_f,gf_ggvict_offwhite_wood_4_f,gf_ggvict_offwhite_wood_4_f,gf_ggvict_offwhite_wood_4_f
Ghiradelli,Ghiradelli_Motel_35,nl_coitrock_f,nw_gdelli_motelbase_35_f,sf_concrete_5,sf_concrete_5,nw_gdelli_motelbase_35_f,sf_concrete_5
Cannery,CanneryMotel01,nl_coitrock_f,sf_2s_motel01_5_f,sf_concrete_5,sf_concrete_5,sf_2s_motel01_5_f,
Coit,CoitHome2Story01_8,sw_roof_tar01_s,CoitHomeFront2strory01,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,
DontUse,ShopB,nl_coitrock_f,nw_pier39b_f,nf_pier39woodwin_f,nf_pier39woodwin_f,nw_pier39b_flat_f,
Wharf,TShirtShop_t,sw_roof_tar01_s,nf_warf_tshirtshop_f,sw_brickwall01_s,sw_brickwall01_s,sw_brickwall01_s,
DontUse,Long01_36,nl_coitrock_f,nw_pier39k_36_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,
Wharf,SouvenirShop_t,sw_roof_tar01_s,nf_warf_souvenirshop_f,sw_brickwall01_s,sw_brickwall01_s,sw_brickwall01_s,
DontUse,Long02_36,nl_coitrock_f,nw_pier39l_36_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,
DontUse,Long01_36,nl_coitrock_f,nw_pier39m_36_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,
DontUse,ShopG,nl_coitrock_f,nw_pier39g_f,nf_pier39woodwin_f,nf_pier39woodwin_f,nf_pier39bluewin2_f,
Wharf,CameraShop_t,sw_roof_tar01_s,nf_warf_camerashop_f,sw_brickwall01_s,sw_brickwall01_s,sw_brickwall01_s,
Ghiradelli,GhiradelliBuilding_4,sw_roof_tar01_s,gdelli_typ_building,gdelli_typ_building,gdelli_typ_building,gdelli_typ_building,
Ghiradelli,NorthEastBuilding,sw_roof_tar01_s,nw_gdelli_ne_b_40_f,nw_gdelli_ne_bside_40_f,nw_gdelli_ne_bside_40_f,nw_gdelli_ne_b_40_f,
CoitBiz,CoitOffice01,nl_coitrock_f,nf_coitbiz_office01_win_f,nf_coitbiz_office01_win_f,nf_coitbiz_office01_win_f,nf_coitbiz_office01_win_f,
DontUse,ShopH,nl_coitrock_f,nw_pier39h_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,nf_pier39woodwin_f,
DontUse,TileWallA,sw_roof_tar01_s,nw_pier39_tw01_8,nw_pier39_tw01_8,nw_pier39_tw01_8,nw_pier39_tw01_8,
Ghiradelli,Building_with_Sign,sw_roof_tar01_s,gdelli_sign_building,gdelli_typ_building,gdelli_typ_building,gdelli_typ_building,
DontUse,ShopI,nl_coitrock_f,nw_pier39i_f,nf_pier39woodwin_f,nf_pier39woodwin_f,nw_pier39i_flat_f,
Cannery,Cannery_5mShop03_12,sw_roof_tar01_s,AppartmentShop02_12,sf_1s_alley04_4_f,sf_1s_alley04_4_f,sf_1s_alley04_4_f,
Coit,CoitApartment3s01_20,sw_roof_tar01_s,CoitApartment3Story02_20,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,
DontUse,ShopJ,nl_coitrock_f,nw_pier39j_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,nw_pier39j_flat_f,
Ghiradelli,NorthWestBuilding,sw_roof_tar01_s,nf_nwbuilding_sliver_8_f,nf_nwbuilding_sidesliver_4_f,nf_nwbuilding_sidesliver_4_f,nf_nwbuilding_sidesliver_4_f,
Cannery,Cannery_4mShop01_12,sw_roof_tar01_s,sf_2s_win01_5_f,sf_1s_alley03_4_f,sf_1s_alley03_4_f,sf_1s_alley03_4_f,ShopApartment02sliver_12
Cannery,Cannery_4mShop02_8,sw_roof_tar01_s,sf_2s_win01_5_f,sf_1s_alley03_4_f,sf_1s_alley03_4_f,sf_1s_alley03_4_f,ShopApartment01sliver_8
CoitBiz,CoitOffice01door,nl_coitrock_f,nf_coitbiz_office01_front_win_f,nf_coitbiz_office01_win_f,nf_coitbiz_office01_win_f,nf_coitbiz_office01_win_f,nf_coitbiz_office01_frt_door_f
DontUse,AppartmentShop01_12,sw_roof_tar01_s,ShopAppartment01_12,nf_nwbuilding_sidesliver_4_f,nf_nwbuilding_sidesliver_4_f,nf_nwbuilding_sidesliver_4_f,
Wharf,RestaurantWharf01_12,sw_roof_tar01_s,nw_b4_fff01_12_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,nf_pier39bluewin2_f,
DontUse,TestSliverWindow2,sw_roof_tar01_s,sf_2s_win13_5_f,sf_2s_win13_5_f,sf_2s_win13_5_f,sf_2s_win13_5_f,sf_winsliver02_4_f
CoitBiz,CoitOffice02,sw_roof_tar01_s,nf_coitbiz_office02_win_f,nf_coitbiz_office02_win_f,nf_coitbiz_office02_win_f,nf_coitbiz_office02_win_f,nf_coitbiz_office02_door_f
Coit,CoitHome2Story02_8,sw_roof_tar01_s,CoitHomeFront2story02,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,
CoitBiz,CoitOffice04,sw_roof_tar01_s,nf_coitbiz_office04_win_f,nf_coitbiz_office04_win_f,nf_coitbiz_office04_win_f,nf_coitbiz_office04_win_f,nf_coitbiz_office04_door_f
DontUse,TestSliverWindow3,sw_roof_tar01_s,sf_2s_win13_5_f,sf_2s_win13_5_f,sf_2s_win13_5_f,sf_2s_win13_5_f,sf_winsliver03_4_f
DontUse,TallAppartment_12,nl_coitrock_f,sw_appartment_tw05_6_f,sw_appartment_tw05_6_f,sw_appartment_tw05_6_f,sw_appartment_tw05_6_f,
DontUse,Appartment01_12,sw_roof_tar01_s,sw_appartment_tw03_4_f,sw_appartment_tw03_4_f,sw_appartment_tw03_4_f,sw_appartment_tw03_4_f,
DontUse,Office01_8,nl_coitrock_f,sw_appartment_tw08_4_f,sw_appartment_tw08_4_f,sw_appartment_tw08_4_f,sw_appartment_tw08_4_f,
DontUse,Appartment01_8,nl_coitrock_f,sw_appartment_tw04_4_f,sw_appartment_tw04_4_f,sw_appartment_tw04_4_f,sw_appartment_tw04_4_f,
DontUse,TallAppartment02_12,nl_coitrock_f,sw_appartment_tw06_6_f,sw_appartment_tw06_6_f,sw_appartment_tw06_6_f,sw_appartment_tw06_6_f,
DontUse,Appartment02_8,nl_coitrock_f,sw_appartment_tw05_4_f,sw_appartment_tw05_4_f,sw_appartment_tw05_4_f,sw_appartment_tw05_4_f,
Coit,CoitApartment3s03_8,sw_roof_tar01_s,CoitApartment3Story01_8,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,sw_stc_offwhite_marswin_f,
