name,start,distance,maxUse,minLerp,maxLerp,file1,file2,file3,file4,,,,,,,
streetlight,9,29,9999,0.1,0.1,sp_lightstreet_f
streetlightb,18,29,9999,0.1,0.1,sp_lightstreet_f
streetlight02,9,40,6,0.1,0.1,sp_lightbanrb_f,sp_lightbanrb_f,sp_lightbanrb_f,sp_lightbanrb_f
streetlight02b,18,40,6,0.1,0.1,sp_lightbanrb_f
streetlight03,9,40,6,0.1,0.1,sp_lightbanrg_f
streetlight03b,18,40,6,0.1,0.1,sp_lightbanrg_f
streetlight04,9,29,9999,0.1,0.1,sp_lightpark_f
streetlight04b,18,29,9999,0.1,0.1,sp_lightpark_f
streetlight05,9,29,9999,0.1,0.1,sp_chinalight_f
streetlight05b,18,29,9999,0.1,0.1,sp_chinalight_f
streetlight06,9,40,3,0.1,0.1,sp_lightbanr_rainbo_f
streetlight06b,18,40,3,0.1,0.1,sp_lightbanr_rainbo_f
mailbox,1,1,1,0.2,0.2,sp_mailbox_f
meter,13,17,9999,0.1,0.1,sp_parkmtr_f
vendor,9,10,3,0.1,0.1,sp_hotdogcart_f
trashcan,3,10,1,0.1,0.1,sp_can_gen_f
trashcan02,6,10,1,0.1,0.1,sp_recycle_can_f
dumpster,9,10,1,0.1,0.1,sp_dumpstr_f
newsboxs,7,10,1,0.1,0.1,sp_newsblue_f,sp_newsred_f,sp_newsyelw_f
parkbench,10,10,1,0.1,0.1,sp_benchwood_f
phone,6,29,1,0.1,0.1,sp_phonestand_f
trafficlight1,1,1,2,0.1,0.1,sp_traflitsingle_f
trafficlight2,1,1,2,0.1,0.1,sp_traflitdual_f
cone,12,29,1,0.1,0.1,sp_cone_f
callbox,8,1,1,0.1,0.1,sp_callbox_f
telepole,11,29,2,0.1,0.1,sp_telephonepole_f,sp_telephonepole_f,sp_telephonepole_f
chinagate,1,1,1,0.1,0.1,sp_chinagate_f
busstop,12,20,1,0.1,0.1,sp_busstop_f
streetree,15,50,2,0.1,0.1,sp_tree1_s,sp_tree1_s,sp_tree1_s,sp_tree1_s
stree,13,50,1,0.1,0.1,sp_tree1_s
ltree,15,50,2,0.1,0.1,sp_tree1_s
wrongway,1,29,1,0.1,0.1,sp_wrongwayfw
nopark,15,50,1,0.1,0.1,sp_noprk_f
