x,y,z,a,radius,frame rate,state changes,texture changes,msg
-232.384872,9.125985,-122.804962,-270.000000,15.000000,0,0,0,
-181.464127,6.309598,-126.359779,90.000000,15.000000,0,0,0,
-238.087906,9.053583,-119.988701,90.000000,15.000000,0,0,0,
-181.468018,6.298999,-124.462311,90.000000,15.000000,0,0,0,
-245.646179,9.053774,-119.988647,90.000000,15.000000,0,0,0,
-175.991409,5.669901,-125.572205,90.000000,15.000000,0,0,0,
-252.234772,9.102306,-121.866188,90.000000,15.000000,0,0,0,
-174.159653,5.468708,-127.526688,90.000000,15.000000,0,0,0,
-240.922241,9.053655,-119.988678,90.000000,15.000000,0,0,0,
-177.823593,5.865623,-122.669701,90.000000,15.000000,0,0,0,
