x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-878.655701,3.781920,-664.134338,-90.876167,9,0,0,0,
-985.721924,7.849900,-658.902039,-90.778419,13,0,0,0,
-1149.080933,12.264997,-600.070984,-27.979008,9,0,0,0,
-1241.016235,9.751000,-624.259094,-88.865990,10,0,0,0,
-1320.998169,7.849900,-617.529297,-89.156990,8,0,0,0,
-1385.379028,7.849900,-618.337036,88.397987,7,0,0,0,
-1560.862915,9.690001,-634.290161,-32.403996,13,0,0,0,
-1602.902954,13.050000,-724.854004,-88.379272,7,0,0,0,
-1488.999146,10.291000,-513.668030,-88.515060,9,0,0,0,
-1804.934448,24.714354,-654.351074,-160.454010,15,0,0,0,
-1721.713867,20.912003,-754.939087,-38.874950,14,0,0,0,
-1762.673828,25.818300,-808.588928,-29.291008,13,0,0,0,
-1898.824585,37.033997,-448.544983,213.382034,13,0,0,0,
-1916.795898,41.293995,-398.474030,221.112991,9,0,0,0,
