x,y,z,a,radius,frame rate,state changes,texture changes,msg
-1983.509033,39.000000,-419.730103,-110.000000,15.000000,0,0,0,
-1791.005127,44.001972,-409.984528,0.000000,15.000000,0,0,0,
-1468.772217,34.849899,-285.419922,0.000000,15.000000,0,0,0,
-1141.258545,96.553200,-285.108124,0.000000,15.000000,0,0,0,
-924.394714,40.320301,-285.780334,0.000000,15.000000,0,0,0,
-796.943420,29.713963,-286.045746,0.000000,15.000000,0,0,0,
-720.563538,24.998438,-228.976456,0.000000,15.000000,0,0,0,
-750.789978,32.850098,-175.561798,0.000000,15.000000,0,0,0,
-755.694092,34.276684,-147.323929,0.000000,15.000000,0,0,0,
-840.985291,37.714607,-110.781898,0.000000,15.000000,0,0,0,
-794.364319,39.849998,-68.789421,0.000000,15.000000,0,0,0,
-714.915405,31.923283,-63.996792,0.000000,15.000000,0,0,0,
-582.787720,19.846703,-64.176041,0.000000,15.000000,0,0,0,
-424.561859,13.514580,-63.703476,0.000000,15.000000,0,0,0,
-342.235168,9.679393,-99.318970,0.000000,15.000000,0,0,0,
-211.732559,8.768201,-175.583923,0.000000,15.000000,0,0,0,
-113.492134,-0.001563,-243.611847,0.000000,15.000000,0,0,0,
-111.207397,-0.150037,-357.912292,0.000000,15.000000,0,0,0,
-123.531425,-0.150100,-483.393555,0.000000,15.000000,0,0,0,
-150.568771,9.420500,-32.207493,0.000000,15.000000,0,0,0,
-272.951233,14.913250,36.052532,0.000000,15.000000,0,0,0,
-448.373138,15.718760,50.608990,0.000000,15.000000,0,0,0,
-499.565674,15.848302,99.655014,0.000000,15.000000,0,0,0,
-434.700409,10.250175,165.077881,0.000000,15.000000,0,0,0,
-288.868011,7.603249,196.784348,0.000000,15.000000,0,0,0,
-9.956194,-0.150300,56.082451,-30.000000,15.000000,0,0,0,
-3.172626,-0.150300,104.611038,-35.000000,15.000000,0,0,0,
40.659657,-0.150300,131.223495,-35.000000,15.000000,0,0,0,
60.226746,2.800364,197.741806,-30.000000,15.000000,0,0,0,
-564.729553,22.891201,581.189819,55.000000,15.000000,0,0,0,
