x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-837.038025,19.760000,-506.563110,157.806137,14,0,0,0,
-804.896545,30.669998,-430.739441,157.013962,16,0,0,0,
-751.995850,24.810007,-289.308044,204.390976,14,0,0,0,
-780.864075,27.058990,-285.296021,-90.342041,9,0,0,0,
-925.515991,40.397991,-285.258972,-90.146812,9,0,0,0,
-1149.590698,91.657005,-313.620972,-0.107920,13,0,0,0,
-1148.081055,64.638008,-403.317047,0.049521,11,0,0,0,
-1149.366089,20.359003,-571.560486,1.003000,7,0,0,0,
-958.576782,6.909000,-664.226746,87.729774,9,0,0,0,
-845.538757,2.765999,-663.096008,137.716995,9,0,0,0,
-839.884766,11.859002,-584.841370,-179.185455,13,0,0,0,
