x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-1260.207764,37.214321,855.944519,65.000000,15,0,0,0,
-958.347107,24.665962,664.635803,55.000000,19,0,0,0,
-810.045959,26.213997,707.103333,-35.000000,13,0,0,0,
-661.463867,23.175407,646.935364,50.000000,15,0,0,0,
-515.070618,22.969000,650.264343,-35.000000,15,0,0,0,
-355.147552,22.408295,671.389282,55.000000,15,0,0,0,
-317.994965,16.997000,519.262207,-35.000000,13,0,0,0,
-310.092926,13.085003,401.313934,55.000000,13,0,0,0,
-160.742996,11.646997,298.128937,55.000000,14,0,0,0,
-122.606995,9.492879,188.986008,-35.000000,13,0,0,0,
-253.481018,7.425001,171.282990,55.000000,19,0,0,0,
-568.668030,20.888004,280.794006,-90.000000,15,0,0,0,
-801.006470,43.670006,279.464081,-90.000000,13,0,0,0,
-922.906006,55.501003,279.059998,90.000000,13,0,0,0,
-994.143372,76.057022,215.080368,-0.538482,13,0,0,0,
-993.927063,92.454018,103.741989,0.503832,13,0,0,0,
-994.266846,77.098022,-0.654435,-0.276286,12,0,0,0,
-993.682922,48.356998,-215.737991,-4.937002,13,0,0,0,
-1070.879028,51.839993,-402.160004,-90.000000,13,0,0,0,
-1247.074341,44.276001,-402.398254,90.000000,13,0,0,0,
-1428.744995,23.400002,-402.285004,-90.000000,18,0,0,0,
-1568.957031,17.374998,-460.533478,-30.000000,19,0,0,0,
-1666.437744,19.425734,-658.896973,-25.000000,19,0,0,0,
-1760.656494,25.818300,-804.921692,-25.000000,15,0,0,0,
