x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-1006.0,37.849899,-369.053955,-177.382614,15,0,0,0,
-994.317871,49.669998,-175.882202,-178.803329,15,0,0,0,
-978.635193,56.939995,-64.092010,90.043007,13,0,0,0,
-750.605957,39.950005,-50.988991,173.016556,8,0,0,0,
-746.150085,36.959999,49.065998,121.785011,16,0,0,0,
-497.510010,18.850100,62.693005,184.381027,14,0,0,0,
-478.491058,11.850100,274.635986,109.440010,19,0,0,0,
-354.649963,7.850099,242.145187,56.894867,20,0,0,0,
-162.317001,6.629500,131.546997,143.951111,15,0,0,0,
-95.523010,11.428055,227.537003,144.205688,15,0,0,0,
