x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-664.010010,20.010000,374.010010,-177.765915,15,0,0,0,
-640.520081,17.440001,466.342957,154.812027,12,0,0,0,
-576.635559,22.773006,576.026733,-167.841705,15,0,0,0,
-647.615967,23.445004,806.150085,148.486084,4,0,0,0,
-586.867859,23.811007,892.341431,145.584961,4,0,0,0,
-519.041809,25.200998,1067.279053,-139.666946,6,0,0,0,
-574.542969,25.699001,1080.667236,-121.440002,8,0,0,0,
-622.586975,29.362997,1138.609863,-134.747971,7,0,0,0,
-701.212097,33.463009,1168.511841,-124.968071,6,0,0,0,
-749.658203,37.434002,1226.443848,-132.430008,7,0,0,0,
-837.256836,37.660992,1219.649048,-96.603012,8,0,0,0,
-874.835999,38.958000,1251.733521,-104.403763,7,0,0,0,
-898.961975,39.599979,1239.767944,-78.472534,6,0,0,0,
-920.356934,47.528000,1069.795166,2.020367,14,0,0,0,
-1016.803040,39.341003,952.810059,-97.100494,5,0,0,0,
-1089.056030,37.645977,951.373840,-128.489990,13,0,0,0,
-1189.496948,37.953011,1021.928040,-71.155983,23,0,0,0,
-1231.683105,35.163002,823.515015,71.123016,21,0,0,0,
