x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-1983.509033,24.000000,-419.730103,-110.000000,15,0,0,0,
-1783.895020,56.932007,-323.434998,111.134850,8,0,0,0,
-1456.442139,34.929989,-285.419922,90.054543,8,0,0,0,
-1136.469604,96.643021,-285.108124,89.822395,12,0,0,0,
-924.315002,40.540020,-285.160034,89.880676,8,0,0,0,
-792.252930,29.304007,-284.955994,92.265999,8,0,0,0,
-720.563538,24.968002,-228.976456,-196.404877,15,0,0,0,
-750.720093,33.480003,-158.142014,-177.787949,8,0,0,0,
-750.783936,39.996998,-64.103996,56.627995,17,0,0,0,
-844.278992,37.906006,-112.425964,212.010010,15,0,0,0,
-582.787720,19.936998,-64.176041,90.171120,14,0,0,0,
-424.561859,13.724992,-63.703476,89.776001,14,0,0,0,
-313.914917,8.868999,-102.718994,28.917997,15,0,0,0,
-211.732559,8.787998,-175.583923,83.208977,15,0,0,0,
-114.481995,-0.042000,-243.611847,1.145125,16,0,0,0,
-113.976982,0.030000,-357.912292,-1.378999,16,0,0,0,
-88.040962,-0.090000,-483.393555,188.165024,13,0,0,0,
-4.980000,-0.050000,0.000000,0.000000,9,0,0,0,
