Description, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty
none,0,0,0,0,0,0.0,0.1,3,30,1,0,0,1,0,0,0.2,0.1,4,25,1
none,0,0,1,0,0,0.2,0.1,3,50,1,0,0,1,0,0,0.3,0.1,4,40,1
none,0,1,0,0,0,0.4,0.2,3,70,1,0,0,2,0,0,0.6,0.2,4,60,1
none,0,1,1,0,0,0.3,0.4,3,120,1,0,1,3,0,0,0.4,0.5,4,88,1
none,0,1,0,0,0,0.4,0.3,3,60,1,0,1,1,0,0,0.5,0.3,4,52,1
none,0,1,1,0,0,0.6,0.2,3,80,1,0,1,2,0,0,0.6,0.2,4,60,1
none,0,1,0,0,0,0.6,0.3,3,35,1,0,2,1,0,0,0.5,0.3,4,30,1
none,0,2,1,0,0,0.7,0.1,3,75,1,0,2,2,0,0,0.7,0.1,4,70,1
none,0,2,2,0,0,0.5,0.1,3,80,1,0,2,3,0,0,0.4,0.1,4,71,1
none,0,3,0,0,0,0.3,0.2,3,60,1,0,3,2,0,0,0.4,0.2,4,49,1
