Description, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty
none,0,0,0,4,0,0.0,0.0,3,50,1,0,0,0,4,0,0.0,0.0,4,40,1
none,0,0,1,7,0,0.0,0.0,3,50,1,0,0,1,7,0,0.0,0.0,4,40,1
none,0,0,2,6,0,0.0,0.0,3,50,1,0,0,3,6,0,0.0,0.0,4,40,1
none,0,1,0,4,0,0.0,0.0,3,50,1,0,1,2,4,0,0.0,0.0,4,40,1
none,0,1,1,5,0,0.0,0.0,3,50,1,0,1,1,5,0,0.0,0.0,4,40,1
none,0,1,1,7,0,0.0,0.0,3,50,1,0,1,3,7,0,0.0,0.0,4,40,1
none,0,2,0,6,0,0.0,0.0,3,50,1,0,2,1,6,0,0.0,0.0,4,40,1
none,0,2,1,6,0,0.0,0.0,3,50,1,0,2,3,6,0,0.0,0.0,4,40,1
none,0,3,1,4,0,0.0,0.0,2,50,1,0,3,2,4,0,0.0,0.0,2,40,1
none,0,3,0,6,0,0.0,0.0,2,50,1,0,3,3,6,0,0.0,0.0,2,40,1
