Description, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty, CarType, TimeofDay, Weather, Opponents, Cops, Ambient, Peds, NumLaps, TimeLimit, Difficulty
lesson1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
lesson2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
lesson3,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1
midtrm1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
lesson4,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1
lesson5,0,1,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1
lesson6,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
midtrm2,0,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1
lesson7,0,2,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1
lesson8,0,2,2,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,1
lesson9,0,3,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1
midtrm3,0,3,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1
final13,0,3,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,1
