x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-1559.515137,12.150561,-630.626099,-50.820015,0,0,0,0,
-1759.419189,6.714557,-939.170898,90.535683,0,0,0,0,
-1969.908447,30.727015,-412.569061,-79.524895,0,0,0,0,
-1759.085571,32.552441,-2517.677734,-68.177971,0,0,0,0,
-1242.746948,12.299108,-640.301697,-1.767036,0,0,0,0,
-1062.326294,16.300303,-612.983398,-86.759064,0,0,0,0,
-1083.221191,32.300461,-547.902466,0.093641,0,0,0,0,
23.428951,0.832757,-387.720184,-9.842663,0,0,0,0,
153.920197,0.833428,-69.406624,-121.899025,0,0,0,0,
-470.412720,6.300444,-881.940125,-28.863579,0,0,0,0,
-355.069244,10.572106,-709.385559,-86.457886,0,0,0,0,
-379.009216,73.922935,-460.444916,88.697144,0,0,0,0,
170.539398,2.300062,-298.441528,-98.969589,0,0,0,0,
21.860630,2.300931,-728.275208,66.330284,0,0,0,0,
-200.373611,29.318527,-419.122314,-98.486862,0,0,0,0,
-497.720856,51.777443,-336.875275,-177.238037,0,0,0,0,
-198.781326,24.246145,-6.460684,-121.420143,0,0,0,0,
-125.142441,8.581341,128.845764,7.901665,0,0,0,0,
-301.131775,16.191145,106.191368,8.243501,0,0,0,0,
91.364708,2.299555,-18.310579,-160.444000,0,0,0,0,
-182.478378,22.488731,527.136597,-131.680466,0,0,0,0,
-88.480690,15.234288,425.202942,45.674965,0,0,0,0,
36.647877,23.790739,376.856506,65.542480,0,0,0,0,
-147.377991,19.870579,653.083435,48.143913,0,0,0,0,
-224.297165,20.890966,612.918579,13.641164,0,0,0,0,
-445.407593,25.400259,599.205872,-125.646545,0,0,0,0,
-607.034180,25.435680,637.510498,133.870712,0,0,0,0,
-609.679993,20.366323,692.673462,-102.556969,0,0,0,0,
-484.210663,20.365232,893.108765,51.563343,0,0,0,0,
-618.276611,33.244896,852.824341,-37.284397,0,0,0,0,
-834.710632,37.662563,916.618530,-124.679726,0,0,0,0,
-1467.826294,59.476807,1543.875854,-46.106483,0,0,0,0,
-1395.015259,43.381992,551.905701,177.284668,0,0,0,0,
-2035.233276,37.004902,215.498871,-94.959251,0,0,0,0,
-1184.928345,44.150066,-63.324894,91.248352,0,0,0,0,
-603.486938,22.265509,-6.025596,6.134673,0,0,0,0,
-769.709900,42.387669,-42.457428,151.588593,0,0,0,0,
-1040.856934,97.780106,82.216927,-0.661037,0,0,0,0,
-1088.781372,105.893829,100.495491,-178.250488,0,0,0,0,
-799.244080,38.618790,322.529327,-50.245750,0,0,0,0,
-734.714355,34.003517,348.327148,-90.094101,0,0,0,0,
-1288.035278,66.439354,257.776550,48.748039,0,0,0,0,
-1059.101563,68.167908,-287.886780,-45.151031,0,0,0,0,
-1850.730591,25.603848,-331.557068,90.749779,0,0,0,0,
