x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-1570.948364,35.454350,498.908691,86.415001,15,0,0,0,
-1540.736328,35.132835,497.506439,88.175514,15,0,0,0,
-1482.729126,29.850000,499.236298,90.139015,15,0,0,0,
-1352.047974,45.528008,499.001923,110.035011,17,0,0,0,
-1149.101807,49.849998,615.993958,133.493027,20,0,0,0,
-881.468140,23.850000,613.844971,86.623001,27,0,0,0,
-706.040039,19.207607,488.240234,54.312092,21,0,0,0,
-599.411987,22.971989,604.127991,-126.348839,13,0,0,0,
-1028.208862,37.407101,906.668945,-70.963997,23,0,0,0,
-1149.739990,79.823990,300.571930,-1.294902,9,0,0,0,
