x,y,z,a,radius,frame rate,state changes,texture changes,msg
-1628.153931,37.973206,360.284821,1.725378,15.000000,0,0,0,
-1628.376221,44.760006,279.211029,-0.859120,15.000000,0,0,0,
-1627.776855,49.850090,174.186005,-0.405769,13.000000,0,0,0,
-1757.031006,25.818001,-799.389954,180.074005,17.000000,0,0,0,
-1777.745728,28.844275,-909.070679,0.608788,13.000000,0,0,0,
-1780.244141,33.180000,-1167.437134,-1.595661,13.000000,0,0,0,
-1780.625854,37.349991,-1423.946655,-2.148895,13.000000,0,0,0,
-1780.286377,37.010002,-1666.739014,-1.652489,13.000000,0,0,0,
-1780.273193,30.342003,-2136.554199,-0.636597,14.000000,0,0,0,
-1782.994629,30.294998,-2306.589600,-4.733887,13.000000,0,0,0,
-1787.436890,30.304001,-2383.744141,-0.648255,23.000000,0,0,0,
