RaceType,RaceNum,CarName,VariantNum (zero if it unlocks a car),
blitz,half,vpsemi,0,Good Job! You've unlocked the Freightliner Fire Truck!,
blitz,all,vpsemi,2,You've earned a new paint job for the Freightliner Fire Truck!,
circuit,half,vpdune,0,Good Job! You've unlocked the New Beetle Dune!,
circuit,all,vpdune,4,You've earned a new paint job for the New Beetle Dune!,
race,half,vpauditt,0,Good Job! You've unlocked the Audi TT!,
race,all,vpauditt,4,You've earned a new paint job for the Audi TT!,
crash,3,vpvwcup,5,You've earned a new paint job for the New Beetle RSi!,
crash,7,vpddbus,3,You've earned a new paint job for the Double Decker Bus!,
crash,11,vpbullet,4,You've earned a new paint job for the Mustang Fastback!,
crash,12,vp4x4,0,Good Job! You've unlocked the Light Tactical Vehicle!,
