x,y,z,a,poly count,frane rate,state changes,texture changes,msg
-113.001900,-0.150000,-281.821655,-177.825150,15,0,0,0,
-105.738998,-0.150000,-235.130463,-177.574814,7,0,0,0,
-102.216988,-0.150000,-189.859024,-24.726002,7,0,0,0,
-110.504990,-0.240000,-129.178024,162.531998,7,0,0,0,
-84.667007,-0.170000,-115.276978,-27.415016,7,0,0,0,
-87.977997,-0.120000,-66.090973,-26.011999,7,0,0,0,
-54.757000,-0.150299,-39.277012,-20.504988,7,0,0,0,
-53.296009,-0.150300,13.045021,168.521011,7,0,0,0,
-9.599999,-0.150300,55.825996,-204.474991,7,0,0,0,
7.467999,-0.210000,117.133034,165.054016,7,0,0,0,
18.883003,-0.150300,139.305847,158.715225,7,0,0,0,
